dicofre;designacao;codigo;lat;long;area;pop;site;district;parish;nuts3;nuts2
810;Olhão;OLH;37.05;-7.8;130.86;44639;http://www.cm-olhao.pt/;Faro;4;Algarve;Algarve
811;Portimão;PTM;37.136944;-8.538333;182.06;59867;https://www.cm-portimao.pt;Faro;3;Algarve;Algarve
812;São Brás de Alportel;SBA;37.153611;-7.887778;153.37;11266;http://www.cm-sbras.pt/;Faro;1;Algarve;Algarve
813;Silves;SLV;37.183333;-8.433333;680.06;37813;http://www.cm-silves.pt/;Faro;6;Algarve;Algarve
814;Tavira;TVR;37.116667;-7.65;606.97;27536;http://www.cm-tavira.pt/;Faro;6;Algarve;Algarve
815;Vila do Bispo;VBP;37.083333;-8.883333;179.06;5258;http://www.cm-viladobispo.pt/;Faro;4;Algarve;Algarve
816;Vila Real de Santo António;VRS;37.2;-7.416667;61.25;18828;http://www.cm-vrsa.pt;Faro;3;Algarve;Algarve
901;Aguiar da Beira;AGB;40.816667;-7.55;206.77;5231;http://www.cm-aguiardabeira.pt;Guarda;10;Viseu Dão-Lafões;Centro
902;Almeida;ALD;40.733333;-6.9;517.99;5882;http://www.cm-almeida.pt;Guarda;16;Beiras e Serra da Estrela;Centro
903;Celorico da Beira;CLB;40.635833;-7.393333;247.22;7693;http://www.cm-celoricodabeira.pt/;Guarda;16;Beiras e Serra da Estrela;Centro
904;Figueira de Castelo Rodrigo;FCR;40.9;-6.966667;508.58;6260;http://www.cm-fcr.pt/;Guarda;10;Beiras e Serra da Estrela;Centro
905;Fornos de Algodres;FAG;40.620833;-7.536111;131.45;4989;http://www.cm-fornosdealgodres.pt/;Guarda;12;Beiras e Serra da Estrela;Centro
906;Gouveia;GVA;40.5;-7.6;300.61;14046;http://www.cm-gouveia.pt/;Guarda;16;Beiras e Serra da Estrela;Centro
907;Guarda;GRD;40.533333;-7.333333;712.1;40126;http://www.mun-guarda.pt/;Guarda;43;Beiras e Serra da Estrela;Centro
908;Manteigas;MTG;40.4025;-7.540278;121.98;3430;http://cm-manteigas.pt;Guarda;4;Beiras e Serra da Estrela;Centro
909;Mêda;MED;40.966667;-7.266667;286.05;5202;http://www.cm-meda.pt;Guarda;11;Beiras e Serra da Estrela;Centro
910;Pinhel;PNH;40.783333;-7.066667;484.52;9627;http://www.cm-pinhel.pt/;Guarda;18;Beiras e Serra da Estrela;Centro
911;Sabugal;SBG;40.35;-7.083333;822.70;12544;http://www.cm-sabugal.pt/;Guarda;30;Beiras e Serra da Estrela;Centro
912;Seia;SEI;40.416667;-7.7;435.69;24702;http://www.cm-seia.pt;Guarda;21;Beiras e Serra da Estrela;Centro
913;Trancoso;TCS;40.783333;-7.35;361.52;9878;http://www.cm-trancoso.pt;Guarda;21;Beiras e Serra da Estrela;Centro
914;Vila Nova de Foz Côa;VLF;41.083333;-7.133333;398.15;6304;http://www.cm-fozcoa.pt;Guarda;14;Douro;Norte
1001;Alcobaça;ACB;39.55;-8.983333;408.14;54981;http://www.cm-alcobaca.pt;Leiria;13;Oeste;Centro
1002;Alvaiázere;AVZ;39.833333;-8.383333;160.48;7287;http://www.cm-alvaiazere.pt/;Leiria;5;Região de Leiria;Centro
1003;Ansião;ANS;39.916667;-8.433333;176.09;13128;http://www.cm-ansiao.pt/;Leiria;6;Região de Leiria;Centro
1004;Batalha;BTL;39.66;-8.826111;103.42;15805;http://www.cm-batalha.pt;Leiria;4;Região de Leiria;Centro
1005;Bombarral;BBR;39.266667;-9.15;91.29;13193;http://www.cm-bombarral.pt;Leiria;4;Oeste;Centro
1006;Caldas da Rainha;CLD;39.4;-9.133333;255.69;50898;http://www.mcr.pt/;Leiria;12;Oeste;Centro
1007;Castanheira de Pêra;CPR;40;-8.216667;66.78;2667;http://www.cm-castanheiradepera.pt/;Leiria;1;Região de Leiria;Centro
1008;Figueiró dos Vinhos;FVN;39.901944;-8.275;173.44;5296;http://www.cm-figueirodosvinhos.pt/;Leiria;4;Região de Leiria;Centro
1009;Leiria;LRA;39.75;-8.8;565.09;128616;http://www.cm-leiria.pt;Leiria;18;Região de Leiria;Centro
1010;Marinha Grande;MGR;39.75;-8.933333;187.25;39032;http://www.cm-mgrande.pt/;Leiria;3;Região de Leiria;Centro
1011;Nazaré;NZR;39.600795;-9.072475;82.43;14889;http://www.cm-nazare.pt/;Leiria;3;Oeste;Centro
1012;Óbidos;OBD;39.360556;-9.156944;141.55;11772;http://www.cm-obidos.pt/;Leiria;7;Oeste;Centro
1013;Pedrógão Grande;PGR;39.916944;-8.146389;128.75;3392;http://www.cm-pedrogaogrande.pt/;Leiria;3;Região de Leiria;Centro
1014;Peniche;PNI;39.358889;-9.377778;77.55;27753;http://www.cm-peniche.pt/;Leiria;4;Oeste;Centro
1015;Pombal;PBL;39.916667;-8.666667;626.00;51178;https://www.cm-pombal.pt/;Leiria;13;Região de Leiria;Centro
1016;Porto de Mós;PMS;39.601667;-8.8175;261.83;23203;http://www.municipio-portodemos.pt/;Leiria;10;Região de Leiria;Centro
1101;Alenquer;ALQ;39.056111;-9.008056;304.22;43267;http://www.cm-alenquer.pt;Lisboa;11;Oeste;Centro
1102;Arruda dos Vinhos;ARV;38.983333;-9.083333;77.96;13391;http://www.cm-arruda.pt;Lisboa;4;Oeste;Centro
1103;Azambuja;AZB;39.066667;-8.866667;262.66;21442;http://www.cm-azambuja.pt/;Lisboa;7;Lezíria do Tejo;Alentejo
1104;Cadaval;CDV;39.25;-9.1;174.89;14228;http://www.cm-cadaval.pt;Lisboa;7;Oeste;Centro
1105;Cascais;CSC;38.7;-9.416667;97.40;214134;https://www.cascais.pt/;Lisboa;4;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1106;Lisboa;LSB;38.725278;-9.15;100.05;544851;http://www.cm-lisboa.pt;Lisboa;24;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1107;Loures;LRS;38.833333;-9.166667;167.24;201646;https://www.cm-loures.pt;Lisboa;10;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1108;Lourinhã;LNH;39.25;-9.316667;147.17;25735;http://www.cm-lourinha.pt;Lisboa;8;Oeste;Centro
1109;Mafra;MFR;38.933333;-9.333333;291.66;86523;http://www.cm-mafra.pt/;Lisboa;11;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1110;Oeiras;OER;38.695833;-9.309167;45.88;171802;http://www.cm-oeiras.pt;Lisboa;5;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1111;Sintra;SNT;38.799167;-9.388333;319.23;385954;http://www.cm-sintra.pt/;Lisboa;11;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1112;Sobral de Monte Agraço;SMA;39.019722;-9.148889;52.10;10156;http://www.cm-sobral.pt;Lisboa;3;Oeste;Centro
1113;Torres Vedras;TVD;39.090556;-9.259167;407.15;83130;http://www.cm-tvedras.pt/;Lisboa;13;Oeste;Centro
1114;Vila Franca de Xira;VFX;38.95;-8.983333;318.19;136886;http://www.cm-vfxira.pt;Lisboa;6;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1115;Amadora;AMD;38.75;-9.233333;23.79;171719;http://www.cm-amadora.pt;Lisboa;6;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1116;Odivelas;ODV;38.8;-9.183333;26.54;148156;http://www.cm-odivelas.pt/;Lisboa;4;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1201;Alter do Chão;ALT;39.2;-7.666667;362.07;3044;http://www.cm-alter-chao.pt/;Portalegre;4;Alto Alentejo;Alentejo
1202;Arronches;ARR;39.116667;-7.283333;314.65;2789;https://cm-arronches.pt/;Portalegre;3;Alto Alentejo;Alentejo
1203;Avis;AVS;39.05;-7.883333;605.97;3812;https://cm-avis.pt/;Portalegre;6;Alto Alentejo;Alentejo
